***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,32.32,,,,,,System Temp (C):,27.24,,,,,,,
Humidity (%):,30.55,,,,,,Humidity (%):,42.33,,,,,,,
Lamp Intensity:,3074,,,,,,Lamp Intensity:,3003,,,,,,,
Data Date-Time:,2022/10/06T23:33:43,,,,,,Data Date-Time:,2021/11/04T14:10:50,,,,,,,
Total Measurement Time in sec:,3.2710339,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.53788089867561,0.0467532770725977,-9.86615555338903E-05,,,,,
Serial Number:,A43R020,(95UB122GC0AA43R020),,,,,Pixel to Wavelength Coefficients:,1754.84743575991,-0.928654795541597,-0.000239616035096235,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,8min 20sec ,,,,,,,
UUID:,DE:67:0C:88:67:3F:1D:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.957557108074,0.377146851651232,65443,27461
904.844796792001,0.380210184662395,82171,34238
910.021073788255,0.387832720680691,99678,40810
913.898249598708,0.391893215684825,110587,44855
917.771112320529,0.395636893179188,123185,49536
921.639661953718,0.394894345939355,139111,56036
925.503898498276,0.397610811156375,159569,63876
929.363821954203,0.396267746433152,183258,73586
933.219432321497,0.397000690149281,207371,83128
937.070729600159,0.394046988872209,229890,92784
942.199083389394,0.387129942033314,255937,104955
946.040316794582,0.382782678616404,272586,112907
949.877237111139,0.380268988028969,287311,119697
953.709844339064,0.378488644776911,300732,125803
957.538138478358,0.378212097422066,313797,131352
961.362119529019,0.376299809960068,326713,137362
965.181787491049,0.376383460975048,339646,142772
968.997142364448,0.375824074235951,353609,148833
974.077572946662,0.376306211997961,373087,156857
977.882863946587,0.377230006525679,388028,162792
981.683841857879,0.378159292691303,402790,168624
985.48050668054,0.378599359540041,417062,174422
989.272858414569,0.379422317730542,431192,179990
993.060897059966,0.380553142046339,444758,185170
996.844622616732,0.381533797464921,456216,189512
1000.62403508487,0.382752696063763,468463,194054
1005.65654246006,0.385125507689814,482450,198759
1009.42589105472,0.385303796084675,491458,202387
1013.19092656075,0.388333600857212,499843,204409
1016.95164897815,0.389231846621833,506896,206865
1020.70805830691,0.388924426435221,512583,209334
1024.46015454704,0.389223830517173,516710,210874
1028.20793769854,0.388281336040891,519030,212281
1031.95140776141,0.387044703994986,518900,212833
1036.93599192959,0.386967384297216,518793,212827
1040.66939811898,0.386632082247735,518378,212821
1044.39849121975,0.385689972636027,517629,212975
1048.12327123188,0.385997924681835,517016,212572
1051.84373815538,0.385791090051307,515671,212120
1055.55989199025,0.385660730661969,513781,211406
1059.27173273648,0.385648397388551,511708,210559
1064.21414448248,0.38472925692257,508349,209620
1067.91592135525,0.384281940762667,506188,208944
1071.61338513938,0.384328678996104,504263,208127
1075.30653583488,0.383233975943032,502196,207797
1078.99537344174,0.383034168784704,500791,207311
1082.67989795998,0.382544889755557,499607,207054
1086.36010938958,0.382417926105656,499034,206877
1090.03600773056,0.382807612370044,498043,206281
1094.93049626954,0.382130435582645,499075,207031
1098.59633073703,0.381149720974249,500696,208173
1102.2578521159,0.381793473801079,501788,208318
1105.91506040614,0.381240501937987,503305,209214
1109.56795560774,0.381333868519965,505112,209920
1113.21653772071,0.381737617060504,507576,210748
1116.86080674505,0.383287684496453,510261,211108
1120.50076268076,0.384000399225066,513048,211913
1125.34732801272,0.384515328647339,517118,213341
1128.97722007495,0.386929764554111,520581,213579
1132.60279904855,0.388666925264328,524427,214298
1136.22406493352,0.392798145325451,528466,213904
1139.84101772986,0.400247238709449,532886,212025
1143.45365743757,0.408661295428261,536838,209499
1147.06198405664,0.419841082128862,541119,205803
1150.66599758709,0.428618499126959,545478,203310
1155.46463971203,0.436548812569197,551844,201961
1159.058589369,0.440453077758955,557161,202082
1162.64822593734,0.447833591225324,562302,200510
1166.23354941704,0.458238366287022,568178,197809
1169.81455980812,0.472257201378446,574011,193492
1173.39125711056,0.48519710352162,580020,189778
1176.96364132437,0.501368510597569,586541,184897
1180.53171244955,0.523212512926801,592702,177674
1185.28243136747,0.560128429356715,603044,166043
1188.84043861918,0.581318618150283,610496,160090
1192.39413278225,0.589503288128441,618069,159050
1195.94351385669,0.587089073742628,626553,162132
1199.4885818425,0.577381560303826,634739,167963
1203.02933673968,0.572742596649676,642902,171950
1206.56577854822,0.572576678857183,651802,174397
1210.09790726814,0.574738803147395,661001,175980
1214.80070297904,0.569303272360231,673300,181512
1218.32276782548,0.554990437604122,682816,190245
1221.84051958329,0.53488968645953,693202,202288
1225.35395825247,0.512275440280948,703688,216324
1228.86308383301,0.491350445962061,714299,230425
1232.36789632493,0.471922608841861,724449,244391
1235.86839572821,0.457514571400628,735243,256399
1240.52901901693,0.441420913058933,749881,271376
1244.01945454674,0.432123515080821,760472,281164
1247.50557698792,0.42544394322751,769166,288786
1250.98738634046,0.419826471658967,778059,295928
1254.46488260438,0.414828068444921,786671,302667
1257.93806577966,0.410601405439387,795425,309028
1261.40693586631,0.407075871414247,803958,314889
1264.87149286432,0.40344962629764,812971,321089
1269.48419294603,0.401254270229703,824682,327365
1272.93868607057,0.398471638797381,834168,333259
1276.38886610648,0.397268381329774,843200,337802
1279.83473305376,0.395524264694559,852194,342779
1283.27628691241,0.394646437827149,860946,347000
1286.71352768243,0.393545814246993,868884,351088
1290.14645536381,0.392176405414088,877344,355626
1293.57506995657,0.391629133520578,885846,359525
1298.13984683125,0.391477987947723,896395,363933
1301.55839755053,0.390605916812995,903365,367500
1304.97263518118,0.390406957816877,910138,370425
1308.3825597232,0.390288663863045,917549,373543
1311.78817117658,0.389940750037271,924224,376562
1315.18946954133,0.389483470407365,929653,379173
1318.58645481745,0.389546924421824,934649,381155
1321.97912700494,0.38956016161238,939707,383206
1326.49598067261,0.389356964268487,945677,385821
1329.87858898662,0.390167469711225,950103,386904
1333.25688421201,0.390639366062522,953845,388006
1336.63086634876,0.391154513568763,957047,388847
1340.00053539688,0.391406824890901,959726,389709
1343.36589135636,0.393889934397413,961442,388180
1346.72693422722,0.397249554995822,962546,385631
1350.08366400944,0.405411275958894,963028,378641
1354.55259447009,0.423694833700258,961157,362326
1357.89926037884,0.441708521776821,960021,347194
1361.24161319896,0.457503037245071,959327,334552
1364.57965293045,0.4699643697483,958722,324884
1367.9133795733,0.481762695348675,958383,316065
1371.24279312752,0.495050615147348,958255,306500
1374.56789359312,0.509010723233576,957143,296460
1378.99465163159,0.528149844177014,953901,282718
1382.30968822371,0.542290624600751,950611,272717
1385.62041172719,0.553962942833673,946429,264317
1388.92682214204,0.564747229980241,942188,256679
1392.22891946827,0.576471316665515,937857,248694
1395.52670370586,0.582223453646146,933593,244306
1398.82017485482,0.575379418171795,929852,247192
1402.10933291514,0.56161529626632,927291,254449
1406.4881677466,0.548736823391211,924838,261414
1409.76726193345,0.545902990391045,922749,262531
1413.04204303167,0.546629803673007,921309,261683
1416.31251104126,0.542096834233787,919833,264005
1419.57866596222,0.534670361082913,918729,268236
1422.84050779454,0.527729715865103,917208,272106
1426.09803653824,0.524137057080244,915833,273955
1429.3512521933,0.522768101031183,915750,274795
1433.68216381773,0.518167021032589,915121,277531
1436.92531559932,0.51428957207081,913363,279482
1440.16415429228,0.51023434830191,912936,281972
1443.3986798966,0.504589787665064,911585,285238
1446.6288924123,0.499631259744218,910497,288169
1449.85479183936,0.494562138176234,908051,290769
1453.07637817779,0.488657369998827,905727,293995
1456.29365142759,0.484179546167424,903172,296204
1460.576639845,0.478142022734548,898347,298746
1463.78384922132,0.474593674725673,894476,299899
1466.98674550902,0.470703978681931,889693,300979
1470.18532870808,0.467061699342982,885619,302124
1473.37959881851,0.462845126753777,880836,303424
1476.5695558403,0.459678157309431,875537,303806
1479.75519977347,0.456830600144621,869901,303836
1482.936530618,0.456186561684043,864338,302341
1487.1715958284,0.453217477159004,856064,301501
1490.34286279946,0.45121785236907,849780,300669
1493.50981668188,0.44883830816631,843557,300107
1496.67245747568,0.444724735218189,836401,300393
1499.83078518084,0.440447469972819,829213,300759
1502.98479979738,0.435219087136809,821641,301622
1506.13450132528,0.431500947285353,814056,301407
1510.3273941135,0.427513654020175,803437,300219
1513.46703176792,0.42369546754183,794826,299624
1516.60235633372,0.421948119309652,785238,297203
1519.73336781088,0.419179331800347,777058,295988
1522.86006619941,0.416475644943029,768275,294470
1525.98245149931,0.413575770128827,758619,292717
1529.10052371058,0.411145209014191,748669,290499
1532.21428283322,0.409788121537485,738857,287589
1536.35925241442,0.407972245568948,725937,283744
1539.46294766358,0.407098964164503,715458,280211
1542.56232982411,0.406667973160174,704428,276165
1545.65739889601,0.405275009340193,693680,272825
1548.74815487928,0.405717392841108,682501,268155
1551.83459777391,0.405686168863907,671114,263700
1554.91672757992,0.405845635931434,659970,259226
1557.99454429729,0.40601309701183,647979,254418
1562.09159067147,0.406475916636889,631488,247679
1565.15934351537,0.406421164405152,619340,242945
1568.22278327063,0.407125700433387,606917,237686
1571.28190993727,0.408129354566974,594685,232358
1574.33672351527,0.409833130984523,582323,226637
1577.38722400464,0.410057993211947,569357,221476
1580.43341140538,0.411598215878356,556948,215882
1583.47528571749,0.411606226816398,544505,211055
1587.52440888465,0.413805311629196,527863,203571
1590.55621932328,0.415113479439217,515169,198078
1593.58371667328,0.415576765163852,502141,192863
1596.60690093465,0.417387545203453,490126,187465
1599.62577210739,0.419970400213283,477824,181676
1602.6403301915,0.420555015191024,465418,176721
1605.65057518697,0.422646021835379,452768,171092
1608.65650709382,0.423033275928151,439298,165854
1612.65770705396,0.426149557641166,420391,157581
1615.65357508733,0.429935004349887,406918,151207
1618.64513003206,0.433626444601597,394191,145238
1621.63237188817,0.438940532762916,381894,138996
1624.61530065564,0.443290618504006,369376,133100
1627.59391633449,0.447734094559423,357586,127540
1630.5682189247,0.453778418519353,345747,121613
1633.53820842628,0.453860201716858,334364,117587
1637.4914851794,0.456433965017182,319040,111535
1640.4514108075,0.45815088353138,307846,107197
1643.40702334698,0.45657074519905,296739,103706
1646.35832279782,0.457051124434014,284919,99465
1649.30530916003,0.455039756224118,273144,95797
1652.2479824336,0.453622638850471,260926,91811
1655.18634261855,0.453260134712271,248001,87336
1659.09744694949,0.449625920012723,228681,81209
1662.02574326097,0.442618333525632,212222,76590
1664.94972648381,0.436206264351769,193672,70935
1667.86939661802,0.429953782900313,173346,64411
1670.78475366359,0.4234080351915,152416,57494
1673.69579762054,0.416944132142921,131239,50248
1676.60252848885,0.42406696976321,111046,41825
1679.50494626853,0.447983750428341,93078,33179
1683.36812739246,0.528788882142566,72973,21596
1686.26048129867,0.622168930490432,60866,14528
1689.14852211624,0.757211824304342,50915,8905
1692.03224984519,0.90505401286902,42552,5295
1694.9116644855,1.04616566714396,35956,3233
1697.78676603718,1.07616316438534,30257,2539
1700.65755450023,1.22880691031134,25607,1512
