***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,6,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,27.39,,,,,,System Temp (C):,25.78,,,,,,,
Humidity (%):,33.42,,,,,,Humidity (%):,34.72,,,,,,,
Lamp Intensity:,3030,,,,,,Lamp Intensity:,3010,,,,,,,
Data Date-Time:,2022/10/10T03:06:38,,,,,,Data Date-Time:,2022/10/10T03:04:56,,,,,,,
Total Measurement Time in sec:,3.1631287,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.53788089867561,0.0467532770725977,-9.86615555338903E-05,,,,,
Serial Number:,A43R020,(95UB122GC0AA43R020),,,,,Pixel to Wavelength Coefficients:,1754.84743575991,-0.928654795541597,-0.000239616035096235,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,9min 23sec ,,,,,,,
UUID:,DE:67:0C:88:67:3F:1D:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.957557108074,0.00521875264357604,25032,24733
904.844796792001,0.00856629869168237,31539,30923
910.021073788255,0.00700789588603245,37734,37130
913.898249598708,0.0136924411125369,42531,41211
917.771112320529,0.0159267321569509,47850,46127
921.639661953718,0.0160966688458858,54912,52914
925.503898498276,0.0155812733182941,63420,61185
929.363821954203,0.0160927038053903,73811,71126
933.219432321497,0.015916534747815,84339,81304
937.070729600159,0.0163114384046969,94108,90639
942.199083389394,0.0146850974853434,106742,103193
946.040316794582,0.0142854323421629,114870,111153
949.877237111139,0.0138258273447673,122775,118928
953.709844339064,0.0148860438466243,130106,125722
957.538138478358,0.0157809242958285,137426,132522
961.362119529019,0.0140998608785035,144249,139641
965.181787491049,0.0151363684500107,151347,146163
968.997142364448,0.0140785299722515,158854,153787
974.077572946662,0.0162717566678052,169604,163367
977.882863946587,0.0127923469027145,176601,171475
981.683841857879,0.0126775639616577,184607,179296
985.48050668054,0.0130507028873849,192377,186682
989.272858414569,0.0118062512457868,199674,194319
993.060897059966,0.0130492692493426,206891,200767
996.844622616732,0.012379306833788,213081,207093
1000.62403508487,0.0127564361939135,219308,212960
1005.65654246006,0.0133771795129658,226918,220035
1009.42589105472,0.0136034567467065,232346,225181
1013.19092656075,0.0139788516487549,236843,229341
1016.95164897815,0.0134518978514771,241251,233893
1020.70805830691,0.012842190632693,244875,237740
1024.46015454704,0.0146587128620439,249174,240904
1028.20793769854,0.0142689426172727,251411,243285
1031.95140776141,0.0152769948399493,253435,244675
1036.93599192959,0.013677942569558,255420,247501
1040.66939811898,0.0134574019111763,256820,248984
1044.39849121975,0.0147866926302266,258286,249640
1048.12327123188,0.0145275525905198,259198,250671
1051.84373815538,0.014769954127464,260099,251402
1055.55989199025,0.0148145710004793,261118,252361
1059.27173273648,0.015333689355313,261508,252436
1064.21414448248,0.0153368054942077,261744,252662
1067.91592135525,0.014680286737546,261721,253022
1071.61338513938,0.0148875924221608,262500,253654
1075.30653583488,0.0139167379873535,262553,254273
1078.99537344174,0.0151796764428775,263678,254621
1082.67989795998,0.0156359392191688,264601,255244
1086.36010938958,0.015009909629427,265431,256414
1090.03600773056,0.0147158293129386,266142,257275
1094.93049626954,0.0147566152243672,268023,259069
1098.59633073703,0.0153146193530469,269707,260362
1102.2578521159,0.0153571487780712,271909,262462
1105.91506040614,0.0149368841500255,273184,263948
1109.56795560774,0.0148633397676949,274899,265650
1113.21653772071,0.0150758354736155,276835,267390
1116.86080674505,0.0158428775542154,278961,268968
1120.50076268076,0.0146922300626853,280421,271093
1125.34732801272,0.0149732117701646,282034,272476
1128.97722007495,0.0149039416388681,283767,274194
1132.60279904855,0.0151840172518182,284414,274642
1136.22406493352,0.0151000927227633,283831,274132
1139.84101772986,0.0155395010870272,281947,272037
1143.45365743757,0.0152796299235841,277661,268062
1147.06198405664,0.014801889800924,272559,263426
1150.66599758709,0.0146376134737372,268385,259490
1155.46463971203,0.0149545782270402,266928,257893
1159.058589369,0.0138478255046276,266133,257781
1162.64822593734,0.0136731895507211,263735,255561
1166.23354941704,0.0149367017091743,259522,250748
1169.81455980812,0.0139688677712683,253659,245630
1173.39125711056,0.0149831962320335,248498,240071
1176.96364132437,0.0142623138916592,241559,233755
1180.53171244955,0.0146931647910183,231405,223707
1185.28243136747,0.0149284724608311,215182,207911
1188.84043861918,0.0150040983223244,206165,199164
1192.39413278225,0.0142698143886712,204031,197436
1195.94351385669,0.01475681752785,208842,201865
1199.4885818425,0.0139541074914522,215308,208500
1203.02933673968,0.0129822137918444,221424,214903
1206.56577854822,0.0138174914316478,225929,218854
1210.09790726814,0.0128874045396087,228672,221986
1214.80070297904,0.0132871245673972,236663,229532
1218.32276782548,0.0140580438607461,249721,241767
1221.84051958329,0.0138532470875678,267432,259036
1225.35395825247,0.01280299825259,287645,279289
1228.86308383301,0.0123043482319754,308940,300310
1232.36789632493,0.0122777218260225,329260,320082
1235.86839572821,0.0124267526517568,348268,338444
1240.52901901693,0.012171302288728,370924,360673
1244.01945454674,0.0122873988966665,385571,374815
1247.50557698792,0.0123903329569771,398092,386895
1250.98738634046,0.0127209259702483,409822,397992
1254.46488260438,0.012353360154793,420198,408414
1257.93806577966,0.0120827868509713,429766,417974
1261.40693586631,0.0118607352074387,439111,427281
1264.87149286432,0.011703426007249,448506,436581
1269.48419294603,0.0118002480907538,459947,447618
1272.93868607057,0.0114957032852316,468675,456432
1276.38886610648,0.0111874092398383,476387,464272
1279.83473305376,0.0106742030428428,484005,472254
1283.27628691241,0.0109646313340636,491357,479107
1286.71352768243,0.0107522628331147,498200,486017
1290.14645536381,0.0110047315096049,505136,492497
1293.57506995657,0.0104103346266145,511533,499417
1298.13984683125,0.0103136488984309,519680,507484
1301.55839755053,0.0104490442497761,525435,512944
1304.97263518118,0.00993930780838432,530005,518013
1308.3825597232,0.00934969920013951,534876,523484
1311.78817117658,0.00950619121102185,539421,527742
1315.18946954133,0.00924061367989885,542310,530893
1318.58645481745,0.00967896748564612,545278,533260
1321.97912700494,0.00913200708874685,547634,536239
1326.49598067261,0.00889062218329709,549417,538284
1329.87858898662,0.00846659509120588,549511,538902
1333.25688421201,0.00845904841334688,549167,538574
1336.63086634876,0.00787666917577754,547815,537969
1340.00053539688,0.00789477870882868,545404,535579
1343.36589135636,0.00758181690724654,541191,531825
1346.72693422722,0.00726199289079991,533580,524732
1350.08366400944,0.00689752268986584,521874,513651
1354.55259447009,0.00707471828353786,495353,487349
1357.89926037884,0.00653782801855409,471717,464669
1361.24161319896,0.0063725101355285,451184,444612
1364.57965293045,0.00628695121219399,434457,428213
1367.9133795733,0.00550151347461384,420248,414958
1371.24279312752,0.00560330765779889,405797,400595
1374.56789359312,0.00597029755492931,390169,384842
1378.99465163159,0.00572431390757774,368941,364110
1382.30968822371,0.00569016331388775,353471,348870
1385.62041172719,0.00555518828655519,339973,335652
1388.92682214204,0.00589355468299375,326514,322113
1392.22891946827,0.00448544160849894,312410,309200
1395.52670370586,0.003157817588673,302701,300508
1398.82017485482,0.00214883576638105,300264,298782
1402.10933291514,0.00124245784730504,304189,303320
1406.4881677466,7.52599225365971E-05,305868,305815
1409.76726193345,-0.0016011354080414,299982,301090
1413.04204303167,-0.0028677231448264,292980,294921
1416.31251104126,-0.00465393912669233,287923,291025
1419.57866596222,-0.00556511339777835,286277,289969
1422.84050779454,-0.00676503469807017,284540,289007
1426.09803653824,-0.0091310522088024,281114,287087
1429.3512521933,-0.00897349266172631,278007,283811
1433.68216381773,-0.0108250576445519,274537,281466
1436.92531559932,-0.0106494600836304,273360,280146
1440.16415429228,-0.0129119065726717,272955,281192
1443.3986798966,-0.0136647385798753,273679,282427
1446.6288924123,-0.013539301828704,275402,284123
1449.85479183936,-0.013909702120875,276833,285843
1453.07637817779,-0.015379877371092,277824,287839
1456.29365142759,-0.0157287896125284,279306,289607
1460.576639845,-0.0154915247223782,280908,291109
1463.78384922132,-0.0159143710661342,281750,292266
1466.98674550902,-0.015425057902796,282638,292857
1470.18532870808,-0.0164359767798859,283481,294415
1473.37959881851,-0.0164189739240011,284429,295388
1476.5695558403,-0.0158124335871242,285164,295738
1479.75519977347,-0.0157433791780366,285002,295523
1482.936530618,-0.0161559164711944,284874,295671
1487.1715958284,-0.0165373803767575,283642,294651
1490.34286279946,-0.0155431673063722,284102,294454
1493.50981668188,-0.0151647345074853,284481,294590
1496.67245747568,-0.0160804825572433,285334,296097
1499.83078518084,-0.0159783124006305,286392,297125
1502.98479979738,-0.0161033818093065,287965,298843
1506.13450132528,-0.0155883393781018,288846,299402
1510.3273941135,-0.015544148171641,289682,300238
1513.46703176792,-0.0150065373099783,289353,299526
1516.60235633372,-0.0157250593365805,288459,299095
1519.73336781088,-0.0152221989930278,288266,298549
1522.86006619941,-0.0149062310593357,287611,297654
1525.98245149931,-0.0152973696616369,286434,296703
1529.10052371058,-0.0152279759248316,284764,294926
1532.21428283322,-0.0151111350643302,282627,292634
1536.35925241442,-0.0152462293250935,279771,289767
1539.46294766358,-0.0148561824867497,277016,286656
1542.56232982411,-0.0141825530112579,273741,282828
1545.65739889601,-0.0151409802105771,269630,279196
1548.74815487928,-0.0152119101384328,265826,275302
1551.83459777391,-0.0150852958502325,261759,271011
1554.91672757992,-0.014904536948386,257485,266475
1557.99454429729,-0.0150354299851121,253246,262167
1562.09159067147,-0.0148344123277356,246636,255206
1565.15934351537,-0.0152915394775157,241871,250539
1568.22278327063,-0.0158136187366289,236441,245209
1571.28190993727,-0.0158398508829744,231708,240315
1574.33672351527,-0.0156586064359898,226758,235083
1577.38722400464,-0.0147421343203027,221619,229271
1580.43341140538,-0.0143006164248545,216958,224221
1583.47528571749,-0.0152582169376478,211702,219272
1587.52440888465,-0.0156374952758189,205331,212859
1590.55621932328,-0.0140504708991503,200782,207384
1593.58371667328,-0.0128730797423831,196144,202045
1596.60690093465,-0.0141277652236438,191379,197707
1599.62577210739,-0.0142601208403862,186488,192713
1602.6403301915,-0.0116459607746517,182239,187192
1605.65057518697,-0.0120991297988611,177516,182531
1608.65650709382,-0.012676040932889,172160,177259
1612.65770705396,-0.00969549376419529,165753,169495
1615.65357508733,-0.0123476095001548,159261,163854
1618.64513003206,-0.00975512053701303,153459,156945
1621.63237188817,-0.00864971399173437,147641,150611
1624.61530065564,-0.0100618880688579,141560,144878
1627.59391633449,-0.00975485966529597,135722,138805
1630.5682189247,-0.0094641517273479,130406,133279
1633.53820842628,-0.00977399393429192,125436,128291
1637.4914851794,-0.00872046738062858,119758,122187
1640.4514108075,-0.00777056547238929,115546,117632
1643.40702334698,-0.0100973022169194,110576,113177
1646.35832279782,-0.00886772269450842,107036,109244
1649.30530916003,-0.00886148887959986,102358,104468
1652.2479824336,-0.00956060434103249,97582,99754
1655.18634261855,-0.0106259275629788,92051,94331
1659.09744694949,-0.011232138162602,84083,86286
1662.02574326097,-0.0131390056275816,77126,79495
1664.94972648381,-0.0166640693169188,69102,71805
1667.86939661802,-0.0171670859265502,60937,63394
1670.78475366359,-0.0225844104341374,52362,55157
1673.69579762054,-0.0203610536850995,43438,45523
1676.60252848885,-0.0219571887907792,35115,36936
1679.50494626853,-0.027186093842268,26827,28560
1683.36812739246,-0.0308527792907057,17005,18257
1686.26048129867,-0.0404874788237219,10828,11886
1689.14852211624,-0.0366279213358199,6557,7134
1692.03224984519,-0.0726579665887877,4047,4784
1694.9116644855,-0.0619775617841568,2210,2549
1697.78676603718,-0.0694523756009291,1753,2057
1700.65755450023,-0.119513067743562,1329,1750
