***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Local New Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,6,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,27.92,,,,,,System Temp (C):,25.78,,,,,,,
Humidity (%):,33.09,,,,,,Humidity (%):,34.72,,,,,,,
Lamp Intensity:,3036,,,,,,Lamp Intensity:,3010,,,,,,,
Data Date-Time:,2022/10/10T03:07:24,,,,,,Data Date-Time:,2022/10/10T03:04:56,,,,,,,
Total Measurement Time in sec:,3.1504454,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.53788089867561,0.0467532770725977,-9.86615555338903E-05,,,,,
Serial Number:,A43R020,(95UB122GC0AA43R020),,,,,Pixel to Wavelength Coefficients:,1754.84743575991,-0.928654795541597,-0.000239616035096235,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,9min 32sec ,,,,,,,
UUID:,DE:67:0C:88:67:3F:1D:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.957557108074,0.000694537940930599,25032,24992
904.844796792001,0.00821533094787755,31539,30948
910.021073788255,0.0037103111666517,37734,37413
913.898249598708,0.0112229714189221,42531,41446
917.771112320529,0.00832035300580431,47850,46942
921.639661953718,0.0168113136563447,54912,52827
925.503898498276,0.013817444309125,63420,61434
929.363821954203,0.0217468595090594,73811,70206
933.219432321497,0.0203998429988216,84339,80469
937.070729600159,0.0175349864194446,94108,90384
942.199083389394,0.020276240180686,106742,101873
946.040316794582,0.0184311358939315,114870,110097
949.877237111139,0.0206828733412526,122775,117065
953.709844339064,0.0223526484672779,130106,123579
957.538138478358,0.0235112944242689,137426,130184
961.362119529019,0.0245946516563741,144249,136307
965.181787491049,0.0262595375549456,151347,142467
968.997142364448,0.0291547354101916,158854,148540
974.077572946662,0.0300594408704674,169604,158262
977.882863946587,0.0301624630355273,176601,164752
981.683841857879,0.0305732943886246,184607,172058
985.48050668054,0.0329530924262167,192377,178320
989.272858414569,0.0327508915229296,199674,185170
993.060897059966,0.0338904364514181,206891,191360
996.844622616732,0.0337325251057584,213081,197157
1000.62403508487,0.0345136503508222,219308,202554
1005.65654246006,0.0342208148607499,226918,209724
1009.42589105472,0.0355915638006604,232346,214064
1013.19092656075,0.0352834900875243,236843,218362
1016.95164897815,0.0359538067311317,241251,222083
1020.70805830691,0.0355322074123567,244875,225638
1024.46015454704,0.0369612959677521,249174,228845
1028.20793769854,0.0366670248338532,251411,231056
1031.95140776141,0.0366560812808458,253435,232922
1036.93599192959,0.0353285387201242,255420,235465
1040.66939811898,0.0358417709673855,256820,236476
1044.39849121975,0.0373048790217899,258286,237026
1048.12327123188,0.0367500599111313,259198,238167
1051.84373815538,0.0364101894076828,260099,239182
1055.55989199025,0.037230383053212,261118,239666
1059.27173273648,0.037356985297983,261508,239954
1064.21414448248,0.0364746272985649,261744,240659
1067.91592135525,0.0367541899546984,261721,240483
1071.61338513938,0.0366925899389174,262500,241233
1075.30653583488,0.0359026027582017,262553,241721
1078.99537344174,0.0369696945375871,263678,242161
1082.67989795998,0.036679700419883,264601,243171
1086.36010938958,0.03715849157853,265431,243665
1090.03600773056,0.0367208872467442,266142,244564
1094.93049626954,0.0359377839949591,268023,246737
1098.59633073703,0.0355431062116975,269707,248513
1102.2578521159,0.0362560632946859,271909,250131
1105.91506040614,0.0348255684484312,273184,252133
1109.56795560774,0.0348458454750745,274899,253704
1113.21653772071,0.0345225404999762,276835,255681
1116.86080674505,0.0346111201273099,278961,257592
1120.50076268076,0.0334406059212255,280421,259639
1125.34732801272,0.0327616869829905,282034,261541
1128.97722007495,0.0335745627392105,283767,262656
1132.60279904855,0.0334127002926577,284414,263353
1136.22406493352,0.0331057301451164,283831,262999
1139.84101772986,0.0329599293665157,281947,261341
1143.45365743757,0.0320130253047678,277661,257930
1147.06198405664,0.0316659138699398,272559,253393
1150.66599758709,0.0315258384110302,268385,249593
1155.46463971203,0.0325926286049369,266928,247629
1159.058589369,0.030153494479009,266133,248282
1162.64822593734,0.0304975557649539,263735,245850
1166.23354941704,0.030606539613807,259522,241862
1169.81455980812,0.0298318992217723,253659,236820
1173.39125711056,0.0310834304249618,248498,231334
1176.96364132437,0.0300365574539554,241559,225417
1180.53171244955,0.0291335446744037,231405,216391
1185.28243136747,0.0291865975155043,215182,201196
1188.84043861918,0.029389570704348,206165,192675
1192.39413278225,0.0289311813945745,204031,190882
1195.94351385669,0.029413682444154,208842,195166
1199.4885818425,0.0295314937485078,215308,201154
1203.02933673968,0.0289334648298143,221424,207153
1206.56577854822,0.0298192149932374,225929,210937
1210.09790726814,0.0295975095659475,228672,213607
1214.80070297904,0.029822600714146,236663,220957
1218.32276782548,0.031127383201479,249721,232449
1221.84051958329,0.031471234207292,267432,248738
1225.35395825247,0.0316369613311207,287645,267436
1228.86308383301,0.0306732084925415,308940,287873
1232.36789632493,0.031481312226884,329260,306237
