***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,30.38,,,,,,System Temp (C):,27.24,,,,,,,
Humidity (%):,31.65,,,,,,Humidity (%):,42.33,,,,,,,
Lamp Intensity:,3060,,,,,,Lamp Intensity:,3003,,,,,,,
Data Date-Time:,2022/10/06T23:22:40,,,,,,Data Date-Time:,2021/11/04T14:10:50,,,,,,,
Total Measurement Time in sec:,3.280065,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.53788089867561,0.0467532770725977,-9.86615555338903E-05,,,,,
Serial Number:,A43R020,(95UB122GC0AA43R020),,,,,Pixel to Wavelength Coefficients:,1754.84743575991,-0.928654795541597,-0.000239616035096235,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,7min 55sec ,,,,,,,
UUID:,DE:67:0C:88:67:3F:1D:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.957557108074,0.445516680283796,65443,23461
904.844796792001,0.44724366087367,82171,29341
910.021073788255,0.4566583101521,99678,34829
913.898249598708,0.457330596549553,110587,38581
917.771112320529,0.459804608124089,123185,42732
921.639661953718,0.462427969438887,139111,47966
925.503898498276,0.45877293300568,159569,55485
929.363821954203,0.458283108489993,183258,63794
933.219432321497,0.453859673616989,207371,72927
937.070729600159,0.449053569346823,229890,81746
942.199083389394,0.444194214970384,255937,92032
946.040316794582,0.443011886030488,272586,98286
949.877237111139,0.441268806415751,287311,104012
953.709844339064,0.439325112242243,300732,109359
957.538138478358,0.440041186498324,313797,113922
961.362119529019,0.440939443981345,326713,118366
965.181787491049,0.445586072139403,339646,121742
968.997142364448,0.453835612288552,353609,124362
974.077572946662,0.473574923465946,373087,125382
977.882863946587,0.491432211358065,388028,125150
981.683841857879,0.504009001115935,402790,126203
985.48050668054,0.499820850197926,417062,131941
989.272858414569,0.490800645823644,431192,139274
993.060897059966,0.483547873633372,444758,146075
996.844622616732,0.481937114361645,456216,150395
1000.62403508487,0.48139277394245,468463,154626
1005.65654246006,0.485584817817935,482450,157713
1009.42589105472,0.488045542117719,491458,159750
1013.19092656075,0.492444950386366,499843,160838
1016.95164897815,0.494763603366904,506896,162239
1020.70805830691,0.495373418191836,512583,163829
1024.46015454704,0.495557668072652,516710,165078
1028.20793769854,0.494005210964411,519030,166413
1031.95140776141,0.492283989415001,518900,167032
1036.93599192959,0.491568261638472,518793,167273
1040.66939811898,0.489174450136385,518378,168063
1044.39849121975,0.487405807459614,517629,168505
1048.12327123188,0.484403465957506,517016,169473
1051.84373815538,0.483754230636001,515671,169285
1055.55989199025,0.482172389342209,513781,169280
1059.27173273648,0.480924830474257,511708,169082
1064.21414448248,0.47878438564206,508349,168802
1067.91592135525,0.476448269406342,506188,168991
1071.61338513938,0.475874240074921,504263,168571
1075.30653583488,0.474281076334914,502196,168497
1078.99537344174,0.473355693249678,500791,168384
1082.67989795998,0.470680139459397,499607,169024
1086.36010938958,0.468993743282118,499034,169487
1090.03600773056,0.466192474676407,498043,170245
1094.93049626954,0.463800409698563,499075,171540
1098.59633073703,0.464348776874628,500696,171880
1102.2578521159,0.461561352340415,501788,173364
1105.91506040614,0.461164702974073,503305,174047
1109.56795560774,0.458524477912473,505112,175737
1113.21653772071,0.457851814017048,507576,176868
