***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,30.25,,,,,,System Temp (C):,27.24,,,,,,,
Humidity (%):,31.75,,,,,,Humidity (%):,42.33,,,,,,,
Lamp Intensity:,3058,,,,,,Lamp Intensity:,3003,,,,,,,
Data Date-Time:,2022/10/06T23:22:31,,,,,,Data Date-Time:,2021/11/04T14:10:50,,,,,,,
Total Measurement Time in sec:,3.2730739,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.53788089867561,0.0467532770725977,-9.86615555338903E-05,,,,,
Serial Number:,A43R020,(95UB122GC0AA43R020),,,,,Pixel to Wavelength Coefficients:,1754.84743575991,-0.928654795541597,-0.000239616035096235,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,7min 53sec ,,,,,,,
UUID:,DE:67:0C:88:67:3F:1D:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.957557108074,0.43013183880624,65443,24307
904.844796792001,0.453130014486729,82171,28946
910.021073788255,0.455736558195325,99678,34903
913.898249598708,0.459938708411546,110587,38350
917.771112320529,0.46188286858333,123185,42528
921.639661953718,0.464943256831245,139111,47689
925.503898498276,0.460545501978519,159569,55259
929.363821954203,0.4576912365374,183258,63881
933.219432321497,0.452979197933953,207371,73075
937.070729600159,0.449329919246737,229890,81694
942.199083389394,0.445167408420862,255937,91826
946.040316794582,0.440518086233624,272586,98852
949.877237111139,0.440167890332064,287311,104276
953.709844339064,0.439162320549407,300732,109400
957.538138478358,0.439808703981234,313797,113983
961.362119529019,0.442586310980714,326713,117918
965.181787491049,0.444463812918281,339646,122057
968.997142364448,0.454181475785632,353609,124263
974.077572946662,0.475185094224517,373087,124918
977.882863946587,0.491609227201355,388028,125099
981.683841857879,0.503950504020159,402790,126220
985.48050668054,0.502041753155465,417062,131268
989.272858414569,0.491565295687664,431192,139029
993.060897059966,0.484056570251253,444758,145904
996.844622616732,0.48168884380194,456216,150481
1000.62403508487,0.482326257197038,468463,154294
1005.65654246006,0.486334471183646,482450,157441
1009.42589105472,0.488709384765732,491458,159506
1013.19092656075,0.491711116803405,499843,161110
1016.95164897815,0.494627103893763,506896,162290
1020.70805830691,0.494557707174534,512583,164137
1024.46015454704,0.495826097108897,516710,164976
1028.20793769854,0.494783610318771,519030,166115
1031.95140776141,0.493252293205292,518900,166660
1036.93599192959,0.491459229824207,518793,167315
1040.66939811898,0.489463967738476,518378,167951
1044.39849121975,0.487081184119077,517629,168631
1048.12327123188,0.484641854803591,517016,169380
1051.84373815538,0.483423411880265,515671,169414
1055.55989199025,0.482418750972283,513781,169184
1059.27173273648,0.480788718997132,511708,169135
1064.21414448248,0.479358500269548,508349,168579
1067.91592135525,0.476985716498333,506188,168782
1071.61338513938,0.476170619103054,504263,168456
1075.30653583488,0.473343892377465,502196,168861
1078.99537344174,0.472158022428192,500791,168849
1082.67989795998,0.47083176199559,499607,168965
1086.36010938958,0.470747402316366,499034,168804
1090.03600773056,0.467188504798038,498043,169855
1094.93049626954,0.464334935405171,499075,171329
1098.59633073703,0.463001594296365,500696,172414
1102.2578521159,0.461511253192632,501788,173384
1105.91506040614,0.460322119164734,503305,174385
1109.56795560774,0.459056127352174,505112,175522
1113.21653772071,0.45946559847351,507576,176212
