***Scan Config Information***,,,,,,,***Reference Scan Information***,,,,,,,,
Scan Config Name:,Column 1,,,,,,Scan Config Name:,Built-in Factory Reference,,,,,,,
Scan Config Type:,Slew,Num Section:,1,,,,Scan Config Type:,Slew,Num Section:,1,,,,,
Section Config Type:,Column,,,,,,Section Config Type:,Column,,,,,,,
Start Wavelength (nm):,900,,,,,,Start Wavelength (nm):,900,,,,,,,
End Wavelength (nm):,1700,,,,,,End Wavelength (nm):,1700,,,,,,,
Pattern Width (nm):,7.03,,,,,,Pattern Width (nm):,7.03,,,,,,,
Exposure (ms):,0.635,,,,,,Exposure (ms):,0.635,,,,,,,
Digital Resolution:,228,,,,,,Digital Resolution:,228,,,,,,,
Num Repeats:,6,,,,,,Num Repeats:,30,,,,,,,
PGA Gain:,64,,,,,,PGA Gain:,64,,,,,,,
System Temp (C):,32.38,,,,,,System Temp (C):,27.24,,,,,,,
Humidity (%):,13.31,,,,,,Humidity (%):,42.33,,,,,,,
Lamp Intensity:,3078,,,,,,Lamp Intensity:,3003,,,,,,,
Data Date-Time:,2022/11/26T19:16:03,,,,,,Data Date-Time:,2021/11/04T14:10:50,,,,,,,
Total Measurement Time in sec:,3.2341344,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
***General Information***,,,,,,,***Calibration Coefficients***,,,,,,,,
Model Name:,NIR-S-G1,,,,,,Shift Vector Coefficients:,-5.53788089867561,0.0467532770725977,-9.86615555338903E-05,,,,,
Serial Number:,A43R020,(95UB122GC0AA43R020),,,,,Pixel to Wavelength Coefficients:,1754.84743575991,-0.928654795541597,-0.000239616035096235,,,,,
GUI Version:,3.7.6,,,,,,Versions (Cal/Ref/Cfg):,1,3,1,,,,,
TIVA Version:,2.4.7,,,,,,***Lamp Usage ***,,,,,,,,
DLPC Version:,2.2.0,,,,,,Total Time(hh:mm:ss):,16min 0sec ,,,,,,,
UUID:,DE:67:0C:88:67:3F:1D:21,,,,,,***Device/Error/Activation Status***,,,,,,,,
Main Board Version:,D,,,,,,Device Status:,0x00000001,Activation Status:,Activated,,,,,
Detector Board Version:,B,,,,,,Error status:,0x00000000,Error Code:,0x00000000000000000000000000000000,,,,,
,,,,,,,,,Error Details:,Not found,,,,,
***Scan Data***,,,,,,,,,,,,,,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
900.957557108074,0.380911263707272,65443,27224
904.844796792001,0.385031618485352,82171,33860
910.021073788255,0.401980230790161,99678,39502
913.898249598708,0.402785583808817,110587,43744
917.771112320529,0.405595832520156,123185,48413
921.639661953718,0.410292668435769,139111,54084
925.503898498276,0.407360450028691,159569,62458
929.363821954203,0.411187233641912,183258,71101
933.219432321497,0.410046732340795,207371,80668
937.070729600159,0.403663875445414,229890,90752
942.199083389394,0.399792706064437,255937,101939
946.040316794582,0.39633539909851,272586,109438
949.877237111139,0.394411232743307,287311,115862
953.709844339064,0.392543051290121,300732,121797
957.538138478358,0.393474736622081,313797,126816
961.362119529019,0.39251138493524,326713,132329
965.181787491049,0.391591380395375,339646,137859
968.997142364448,0.393150829847548,353609,143012
974.077572946662,0.393008648185116,373087,150939
977.882863946587,0.393323168752989,388028,156870
981.683841857879,0.395467166153149,402790,162036
985.48050668054,0.396704680573387,417062,167300
989.272858414569,0.396996285740565,431192,172852
993.060897059966,0.398969454588346,444758,177482
996.844622616732,0.400384819211903,456216,181462
1000.62403508487,0.402123063581487,468463,185589
1005.65654246006,0.404326290560603,482450,190163
1009.42589105472,0.404803195183099,491458,193501
1013.19092656075,0.407282735961438,499843,195682
1016.95164897815,0.407567679729322,506896,198313
1020.70805830691,0.408467193880503,512583,200123
1024.46015454704,0.409142118831758,516710,201421
1028.20793769854,0.40774135227635,519030,202979
1031.95140776141,0.407885108692653,518900,202861
1036.93599192959,0.407324814311823,518793,203081
1040.66939811898,0.406528409574118,518378,203291
1044.39849121975,0.405806459485036,517629,203335
1048.12327123188,0.405676467793124,517016,203155
1051.84373815538,0.405375432807301,515671,202767
1055.55989199025,0.405097848943372,513781,202153
1059.27173273648,0.404725603730382,511708,201510
1064.21414448248,0.403389613899115,508349,200804
1067.91592135525,0.403785923650166,506188,199768
1071.61338513938,0.402640194410768,504263,199534
1075.30653583488,0.403239653799288,502196,198442
1078.99537344174,0.401740692406661,500791,198571
1082.67989795998,0.400994919222027,499607,198442
1086.36010938958,0.401320204855781,499034,198066
1090.03600773056,0.401244794278128,498043,197707
1094.93049626954,0.399788759597198,499075,198782
1098.59633073703,0.400472324897806,500696,199114
1102.2578521159,0.400257482531406,501788,199647
1105.91506040614,0.400115605415692,503305,200316
1109.56795560774,0.400617489327643,505112,200803
1113.21653772071,0.400793027541269,507576,201701
